,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
862,1,골목상권,서울역 15번,중식음식점,122268866,6845,84333746,37935120,17422653,17039415,17700066,15894486,16277126,20022808,17912312,0,1566431,52852678,18049824,49085473,714460,73535539,28836072,212246,9087688,17852524,28599314,34530824,12089017,4980,1865,987,986,1099,945,963,1010,855,0,66,3365,1017,2385,12,4544,1519,12,621,981,1698,1973,777,3
863,1,골목상권,서울역 15번,분식전문점,67936672,7362,59325939,8610733,11265336,13834056,13194944,10848185,10183418,7276738,1333995,0,3758830,34921427,13228406,15448011,579998,42390011,20253068,267691,12372909,17979923,16465237,10175610,5381708,6525,837,1216,1517,1461,1193,1138,759,78,0,491,3547,1540,1729,55,4907,1985,33,1216,1807,1650,1294,892,9
864,1,골목상권,서울역 15번,호프-간이주점,3958326,96,3300599,657727,1219787,322885,574017,0,1183910,657727,0,0,0,0,0,1841638,2116688,2104730,896901,0,0,322885,837109,1841637,0,84,12,24,12,12,0,36,12,0,0,0,0,0,48,48,60,24,0,0,12,24,48,0,3
865,1,골목상권,서울역 15번,커피-음료,29770825,4745,26372597,3398228,4199218,5582297,5691209,5913856,4986017,1649883,1748345,0,8368278,15297093,3135665,2969789,0,11714363,12439764,0,5443726,8158051,5111283,4265746,1175320,4105,640,745,825,948,825,762,302,338,0,1695,2013,488,549,0,1801,2298,0,1091,1251,923,629,204,4
866,1,골목상권,서울역 15번,당구장,8090264,658,6358478,1731786,1288201,805931,1411992,1952289,900065,999355,732431,0,0,246293,1646680,4372662,1824629,8006447,83817,0,380400,0,1480335,2862668,3366861,515,143,90,52,140,143,90,65,78,0,0,26,130,348,154,645,13,0,39,0,78,258,283,3
867,1,골목상권,서울역 15번,미용실,3142857,123,2857143,285714,2857143,0,0,0,0,285714,0,0,0,0,1020408,2122449,0,285714,2857143,0,1020408,0,1836735,285714,0,82,41,82,0,0,0,0,41,0,0,0,0,41,82,0,41,82,0,41,0,41,41,0,3
868,1,골목상권,서울역 15번,피부관리실,3349138,90,2443966,905172,0,0,1719828,0,724138,905172,0,0,0,905172,0,2443966,0,0,3349138,0,1629310,724138,0,995690,0,72,18,0,0,54,0,18,18,0,0,0,18,0,72,0,0,90,0,36,18,0,36,0,3
869,1,골목상권,서울역 15번,여관,10512595,263,7307192,3205403,566741,1204325,1221808,2479493,1834825,1204325,2001078,2266965,0,0,354213,3276245,4615172,7048389,2897464,637584,2401566,3913829,1558538,354213,1080123,181,82,14,29,39,57,42,28,54,57,0,0,14,81,111,179,71,14,56,97,42,14,25,4
870,1,골목상권,서울역 15번,노래방,7547665,102,6869283,678382,240371,2243467,886704,3311785,186956,544842,133540,0,0,0,133540,5966554,1447571,4000849,1944339,0,331178,1479621,790555,3343835,0,81,21,11,28,27,10,5,16,5,0,0,0,5,49,48,75,21,0,11,15,33,37,0,3
871,1,골목상권,서울역 15번,슈퍼마켓,138465090,13771,101823408,36641682,12532597,22662643,26807005,15052598,24768565,19552848,17088834,9355728,12025386,17003064,24362541,39257556,36460815,72202272,66262818,1373831,11970201,10825890,50965945,46609675,16719548,9535,4236,1257,2009,2303,1559,2407,2062,2174,928,1255,1815,1842,4302,3629,7003,6768,281,1951,782,4827,4719,1211,6
872,1,골목상권,서울역 15번,편의점,1341851791,183717,986760462,355091329,194443859,193005118,200066321,199607395,199637769,184017817,171073512,163580151,202490818,171367091,193223085,360914631,250276015,884017849,457833942,7420886,264322934,279952410,311987560,314615181,163552820,136167,47550,27412,27063,28077,25664,27951,24447,23103,20211,35223,25839,24139,46638,31667,124992,58725,1803,42504,43021,36536,39353,20500,15
873,1,골목상권,서울역 15번,의약품,98208234,4764,72504694,25703540,36892635,8222830,6651462,14499864,6237903,15189641,10513899,0,37498011,20058735,36001833,4649655,0,44065413,52615954,72891,1385334,20378600,68214648,3735625,2894270,3099,1665,874,552,545,637,491,690,975,0,1595,1534,1228,407,0,1996,2760,8,140,2112,1919,331,247,3
